1520 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 38, 50, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3440', 'admin']
1523 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 38, 50, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3440', 'admin']
1525 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 38, 51, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3440', 'admin']
1527 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 38, 51, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3440', 'admin']
1529 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 38, 51, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3440', 'admin']
1531 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 38, 52, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3440', 'admin']
1533 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 26, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3444', 'admin']
1536 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 28, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3444', 'admin']
1538 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 29, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3444', 'admin']
1540 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 29, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3444', 'admin']
1543 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 30, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3444', 'admin']
1545 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 30, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3444', 'admin']
1547 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 31, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3444', 'admin']
1550 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 39, 32, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/searchTitle.php?searchbar= HTTP/1.1', '200', '7428', 'searchTitle']
